DELITOS COMETIDOS EN JUJUY - MUESTRA;;;;;;;;;;;
;;;;;;;;;;;
;dependencia;delito;;;victima;;inculpado;;delito;;
;ordinal;nominal;ordinal;ordinal;nominal;discreta;nominal;discreta;nominal;nominal;nominal
cod_lugar;comisaria;delito;fecha;hora;sexo_victima;edad_victima;sexo_inculpado;edad_inculpado;localidad;modus_operandis;detalle_de_lugar
6;62;ROBO;30/6/2018;22:00;MASCULINO;18;;;;AGRESION FISICA;Via Publica
6;5;HURTO;7/7/2018;17:30;MASCULINO;20;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
6;14;ROBOS;9/7/2018;00:00;MASCULINO;47;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;59;HURTO;8/7/2018;21:40;MASCULINO;20;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;17;ROBO;11/7/2018;00:40;MASCULINO;29;;;PERICO;AGRESION FISICA;Via Publica
6;64;HURTO;9/7/2018;00:00;MASCULINO;36;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
6;19;hurto;14/7/2018;04:30;MASCULINO;75;;;MONTERRICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;50;ROBO;15/7/2018;22:00;MASCULINO;33;;;PUESTO VIEJO;AGRESION CON ARMA DE FUEGO;Via Publica
6;1;HURTO;16/7/2018;09:30;MASCULINO;41;;;MONTERRICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;9;ROBO;19/7/2018;14:00;MASCULINO;19;;;PERICO;AGRESION CON ARMA DE FUEGO;Via Publica
6;23;HURTO;19/6/2018;15:00;MASCULINO;29;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;59;HURTO;19/8/2018;11:15;MASCULINO;37;;;PERICO;Sustracción Bienes Rodados;Via Publica
6;52;ABANDONO DE PERSONA;29/8/2018;00:00;MASCULINO;16;;;;Agresión Física;Domicilio Particular
6;8;ROBO;12/7/2018;18:00;FEMENINO;46;;;PERICO;AGRESION CON ARMA BLANCA;Domicilio Particular
6;19;HURTO;29/7/2018;18:00;MASCULINO;65;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
6;11;HURTO;30/7/2018;00:00;MASCULINO;18;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
6;5;HURTO;30/7/2018;00:30;MASCULINO;29;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
7;5;HURTO;11/8/2018;00:00;MASCULINO;68;MASCULINO;44;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Domicilio Particular
7;39;HURTO;29/7/2018;20:00;FEMENINO;38;MASCULINO;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Domicilio Particular
7;8;COMPLEMENTARIAS;22/6/2018;14:00;FEMENINO;41;MASCULINO;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
7;45;ROBO;6/8/2018;22:50;MASCULINO;;MASCULINO;;ALTO COMEDERO;Agresión Física;Via Publica
7;35;ROBO;6/8/2018;22:00;MASCULINO;33;MASCULINO;;;Agresión Física;Via Publica
7;44;ROBO;18/8/2018;23:45;FEMENINO;22;MASCULINO;;SAN SALVADOR DE JUJUY ;Agresión Física;Via Publica
7;59;ROBO;12/8/2018;21:30;MASCULINO;31;MASCULINO;;;AGRESION CON ARMA BLANCA;Via Publica
7;43;ROBO;21/7/2018;06:45;MASCULINO;35;MASCULINO;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
7;29;ROBOS;27/6/2018;22:00;FEMENINO;55;;;ALTO COMEDERO;SUSTRACCION DE BIENES RODADOS;Via Publica
7;6;ROBOS;23/7/2018;12:30;FEMENINO;23;;;ALTO COMEDERO;AGRESION FISICA;Domicilio Particular
